Community_District,Mean_Income
Manhattan 1,113477
Manhattan 2,113477
Manhattan 3,42656
Manhattan 4,90771
Manhattan 5,90771
Manhattan 6,101079
Manhattan 7,99298
Manhattan 8,103176
Manhattan 9,40739
Manhattan 10,36614
Manhattan 11,30836
Manhattan 12,39281
Bronx 1,21663
Bronx 2,21663
Bronx 3,22145
Bronx 4,27166
Bronx 5,25600
Bronx 6,22145
Bronx 7,31153
Bronx 8,55027
Bronx 9,36711
Bronx 10,53541
Bronx 11,46658
Bronx 12,47034
Brooklyn 1,48627
Brooklyn 2,73440
Brooklyn 3,36321
Brooklyn 4,38075
Brooklyn 5,33980
Brooklyn 6,92780
Brooklyn 7,43233
Brooklyn 8,40674
Brooklyn 9,41543
Brooklyn 10,55922
Brooklyn 11,44906
Brooklyn 12,39574
Brooklyn 13,31069
Brooklyn 14,43488
Brooklyn 15,50910
Brooklyn 16,28109
Brooklyn 17,46953
Brooklyn 18,64440
Queens 1,50887
Queens 2,56064
Queens 3,49434
Queens 4,45651
Queens 5,55243
Queens 6,64646
Queens 7,53489
Queens 8,58384
Queens 9,59697
Queens 10,62005
Queens 11,76157
Queens 12,53498
Queens 13,77697
Queens 14,49626
Staten Island 1,58896
Staten Island 2,73574
Staten Island 3,85451
